,security,DS_DSCODE_C,DS_IS_MAJOR,DS_IS_PRIMQT,DS_SECTYPE,DS_LAST_PRICE_DATE,DS_STATUS,DS_REGION,DS_COVERAGE,DS_QT_NAME,WS_SEC_6035,SYM_INST_ORGPERMID,Industry Group,Sector
0,@AAPIC1,26372F,Y,1,Ordinary Share,2023-12-13 00:00:00,ACTIVE,THA,FULL COVERAGE,AAPICO HITECH,C764JO100,4295893349,INDUS,AUTO
1,@ABSOL123,54772J,Y,1,Ordinary Share,2023-12-13 00:00:00,ACTIVE,THA,FULL COVERAGE,E FOR L AIM,C76400020,4297795594,CONSUMP,-
2,@ABSOL246,9527VT,Y,1,Ordinary Share,2023-12-13 00:00:00,ACTIVE,THA,RESEARCH,ABSOLUTE CLEAN ENERGY,C764H1ZV0,5066630759,RESOURC,ENERG
3,@ADDTE5,2575RA,Y,1,Ordinary Share,2023-12-13 00:00:00,ACTIVE,THA,RESEARCH,ADDTECH HUB,C764H1140,5071556214,SERVICE,-
4,@AESTH3,2774ER,Y,1,Ordinary Share,2023-12-13 00:00:00,ACTIVE,THA,RESEARCH,AESTHETIC CONNECT,C764H1630,5082930509,SERVICE,-
5,@AFTER5,2828NU,Y,1,Ordinary Share,2023-12-13 00:00:00,ACTIVE,THA,FULL COVERAGE,AFTER YOU,C764H0Z80,5051601827,AGRO,-
6,@AGRIP3,316801,Y,1,Ordinary Share,2023-12-13 00:00:00,ACTIVE,THA,FULL COVERAGE,AGRIPURE HOLDINGS,C764H6220,4295893213,AGRO,FOOD
7,@AIENE1,8702NU,Y,1,Ordinary Share,2023-12-13 00:00:00,ACTIVE,THA,FULL COVERAGE,AI ENERGY,C764H54H0,5000053073,RESOURC,ENERG
8,@AIKAC2,315341,Y,1,Ordinary Share,2023-12-13 00:00:00,ACTIVE,THA,FULL COVERAGE,AIKCHOL HOSPITAL,C764B1400,4295892959,SERVICE,HELTH
9,@AIRAC1,8938Y0,Y,1,Ordinary Share,2023-12-13 00:00:00,ACTIVE,THA,FULL COVERAGE,AIRA CAPITAL,C764H5430,5015506875,FINCIAL,-
10,@AIRPO2,28530Q,Y,1,Ordinary Share,2023-12-13 00:00:00,ACTIVE,THA,FULL COVERAGE,AIRPORTS OF THAILAND,C764PS400,4295893398,SERVICE,TRANS
11,@AKKHI2,88020D,Y,1,Ordinary Share,2023-12-13 00:00:00,ACTIVE,THA,FULL COVERAGE,AKKHIE PRAKARN,C764H5190,5000864752,SERVICE,-
12,@ALLAP1,2722J5,Y,1,Ordinary Share,2023-12-13 00:00:00,ACTIVE,THA,FULL COVERAGE,ALLA,C764H0Z40,5051004164,INDUS,IMM
13,@ALTTE1,7717V4,Y,1,Ordinary Share,2023-12-13 00:00:00,ACTIVE,THA,FULL COVERAGE,ALT TELECOM,C764H59L0,5050282051,TECH,ICT
14,@ALUCO1,502887,Y,1,Ordinary Share,2023-12-13 00:00:00,ACTIVE,THA,FULL COVERAGE,ALUCON,C764K0540,4295893333,INDUS,PKG
15,@AMAMA1,2820Y9,Y,1,Ordinary Share,2023-12-13 00:00:00,ACTIVE,THA,FULL COVERAGE,AMA MARINE,C764H0ZG0,5047642436,SERVICE,-
16,@AMARI4,315333,Y,1,Ordinary Share,2023-12-13 00:00:00,ACTIVE,THA,FULL COVERAGE,AMARIN CORPORATIONS,C764H5560,4295893169,SERVICE,MEDIA
17,@AMARI6,759838,Y,1,Ordinary Share,2023-12-13 00:00:00,ACTIVE,THA,FULL COVERAGE,ERAWAN GROUP,C764H5550,4295893179,SERVICE,TOURISM
18,@AMATA10,8745JM,Y,1,Ordinary Share,2023-12-13 00:00:00,ACTIVE,THA,FULL COVERAGE,AMATA VN,C764H5350,5038033266,PROPCON,PROP
19,@AMATA5,890959,Y,1,Ordinary Share,2023-12-13 00:00:00,ACTIVE,THA,FULL COVERAGE,AMATA,C764H5620,4295893172,PROPCON,PROP
20,@AMRAS1,2592N3,Y,1,Ordinary Share,2023-12-13 00:00:00,ACTIVE,THA,RESEARCH,AMR ASIA,C764H12Y0,5062381676,TECH,ICT
21,@ANAND8,87866E,Y,1,Ordinary Share,2023-12-13 00:00:00,ACTIVE,THA,FULL COVERAGE,ANANDA DEVELOPMENT,C764H52U0,4296080651,PROPCON,PROP
22,@APPLI76,92149U,Y,1,Ordinary Share,2023-12-13 00:00:00,ACTIVE,THA,RESEARCH,APPLIED DB,C764H0ZW0,5055474424,INDUS,-
23,@AREEY1,28751E,Y,1,Ordinary Share,2023-12-13 00:00:00,ACTIVE,THA,FULL COVERAGE,AREEYA PROPERTY,C7642V400,4295892718,PROPCON,PROP
24,@ARINS3,9460CC,Y,1,Ordinary Share,2023-12-13 00:00:00,ACTIVE,THA,RESEARCH,ARINSIRI LAND,C764H1ZR0,5067158564,PROPCON,-
25,@ARIPP3,72858C,Y,1,Ordinary Share,2023-12-13 00:00:00,ACTIVE,THA,FULL COVERAGE,ARIP,C764H51K0,5000872864,SERVICE,-
26,@ARROW45,87969W,Y,1,Ordinary Share,2023-12-13 00:00:00,ACTIVE,THA,FULL COVERAGE,ARROW SYNDICATE,C764H52R0,5037850096,PROPCON,-
27,@ASEFA1,9513P0,Y,1,Ordinary Share,2023-12-13 00:00:00,ACTIVE,THA,FULL COVERAGE,ASEFA,C764H57D0,5045848335,INDUS,IMM
28,@ASIAA13,87190C,Y,1,Ordinary Share,2023-12-13 00:00:00,ACTIVE,THA,FULL COVERAGE,ASIA AVIATION,C764H51L0,4297485267,SERVICE,TRANS
29,@ASIAB8,9274U9,Y,1,Ordinary Share,2023-12-13 00:00:00,ACTIVE,THA,RESEARCH,ASIA BIOMASS,C764H00M0,5057819520,RESOURC,-
30,@ASIAF3,756495,Y,1,Ordinary Share,2023-12-13 00:00:00,ACTIVE,THA,FULL COVERAGE,ASIA FIBER,C76453300,4295892761,CONSUMP,FASHION
31,@ASIAG4,54803H,Y,1,Ordinary Share,2023-12-13 00:00:00,ACTIVE,THA,FULL COVERAGE,ASIA GREEN ENERGY,C76400040,4298040312,RESOURC,ENERG
32,@ASIAH3,502238,Y,1,Ordinary Share,2023-12-13 00:00:00,ACTIVE,THA,FULL COVERAGE,ASIA HOTEL,C764DF770,4295893138,SERVICE,TOURISM
33,@ASIAJ4,772051,Y,1,Ordinary Share,2023-12-13 00:00:00,ACTIVE,THA,FULL COVERAGE,DV8,C764H6730,4295893257,SERVICE,-
34,@ASIAM6,29353R,Y,1,Ordinary Share,2023-12-13 00:00:00,ACTIVE,THA,FULL COVERAGE,ASIA METAL,C7641Y500,4295892698,INDUS,STEEL
35,@ASIAN106,77867U,Y,1,Ordinary Share,2023-12-13 00:00:00,ACTIVE,THA,FULL COVERAGE,ASIAN PHYTOCEUTICALS,C764H5130,5001110820,CONSUMP,PERSON
36,@ASIAN125,2699YT,Y,1,Ordinary Share,2023-12-13 00:00:00,ACTIVE,THA,RESEARCH,ASIAN ALLIANCE INTERNATIONAL,C764H1490,5000061563,AGRO,FOOD
37,@ASIAN48,865325,Y,1,Ordinary Share,2023-12-13 00:00:00,ACTIVE,THA,FULL COVERAGE,ASIAN MARINE SERVICES,C764H5570,4295893182,SERVICE,TRANS
38,@ASIAN51,316232,Y,1,Ordinary Share,2023-12-13 00:00:00,ACTIVE,THA,FULL COVERAGE,AP (THAILAND),C764H6360,4295893236,PROPCON,PROP
39,@ASIAN58,29504L,Y,1,Ordinary Share,2023-12-13 00:00:00,ACTIVE,THA,FULL COVERAGE,ASIAN INSULATORS,C764WE600,4295893437,RESOURC,ENERG
40,@ASIAP65,77614N,Y,1,Ordinary Share,2023-12-13 00:00:00,ACTIVE,THA,FULL COVERAGE,ASIA PRECISION,C764H50F0,5028043672,PROPCON,CONS
41,@ASIAS13,31572P,Y,1,Ordinary Share,2023-12-13 00:00:00,ACTIVE,THA,FULL COVERAGE,ASIA SERMKIJ LEASING,C7646X900,4295892840,FINCIAL,FIN
42,@ASIAS25,53479U,Y,1,Ordinary Share,2023-12-13 00:00:00,ACTIVE,THA,FULL COVERAGE,ASPHERE INNOVATIONS,C764T2S10,4298008699,SERVICE,MEDIA
43,@ASNBR1,7408KG,Y,1,Ordinary Share,2023-12-13 00:00:00,ACTIVE,THA,FULL COVERAGE,ASN BROKER,C764H59G0,5050311723,FINCIAL,-
44,@ASSET109,2570LH,Y,1,Ordinary Share,2023-12-13 00:00:00,ACTIVE,THA,RESEARCH,ASSETWISE,C764H11Q0,5063362419,PROPCON,PROP
45,@ASSET67,9518M1,Y,1,Ordinary Share,2023-12-13 00:00:00,ACTIVE,THA,RESEARCH,ASSET WORLD,C764H10U0,5070506389,PROPCON,PROP
46,@ATPTH1,99157Q,Y,1,Ordinary Share,2023-12-13 00:00:00,ACTIVE,THA,FULL COVERAGE,ATP30,C764H57O0,5045944386,SERVICE,-
47,@AUROR800,2705PC,Y,1,Ordinary Share,2023-12-13 00:00:00,ACTIVE,THA,RESEARCH,AURORA DESIGN,C764H1570,5054412715,CONSUMP,FASHION
48,@AUTOC15,9457XP,Y,1,Ordinary Share,2023-12-13 00:00:00,ACTIVE,THA,RESEARCH,AUTOCORP HOLDING,C764H10I0,5066535319,INDUS,AUTO
49,@AYUDH11,772084,Y,1,Ordinary Share,2023-12-13 00:00:00,ACTIVE,THA,FULL COVERAGE,ALLIANZ AYUDHYA CAPITAL,C76449070,4295892728,FINCIAL,INSUR
50,@BAANR1,41431D,Y,1,Ordinary Share,2023-12-13 00:00:00,ACTIVE,THA,FULL COVERAGE,BAAN ROCK GARDEN,C764LEC00,4295893338,PROPCON,PROP
