Year,MEA,PEA,EDL,Malaysia,Cambodia,Direct customers,Others,Total
01/01/1969,2335.72,613.2,15.91,0,0,187.39,0.03,3152.25
01/01/1970,2743.95,785.95,30.22,0,0,296.29,9.84,3866.25
01/01/1971,3165.55,930.98,47.86,0,0,321.2,11.86,4477.45
01/01/1972,3679.14,1235.3,9.69,0,0,359.41,9.71,5293.25
01/01/1973,4420.42,1574.66,0.53,0,0,399.55,4.59,6399.75
01/01/1974,4454.38,1796.64,7.69,0,0,428.34,0,6687.05
01/01/1975,5034.45,2124.63,8.82,0,0,422.07,0,7589.97
01/01/1976,5594.06,2655.29,6.96,0,0,437.94,1.45,8695.7
01/01/1977,6357.98,3314.67,6.2,0,0,452.29,18.4,10149.54
01/01/1978,7111.81,3916.27,6.33,0,0,467.24,14.67,11516.32
01/01/1979,7921.65,4542.18,6.68,0,0,430.65,15.34,12916.5
01/01/1980,8247.38,4966.03,7.61,0,0,424.01,12.11,13657.14
01/01/1981,8476.08,5568.86,8.1,0,0,488.33,4.2,14545.57
01/01/1982,14545.57,6189.49,9.98,2.14,0,482.08,0.13,15385.52
01/01/1983,9646.63,7287.36,12.78,2.14,0,585.03,26.95,17560.89
01/01/1984,10474.3,8173.86,15.68,3.78,0,670.1,19.31,19357.03
01/01/1985,11885.62,9391.02,17.76,4.01,0,905.56,35.68,22239.65
01/01/1986,11366.14,10190.31,17.31,0.15,0,953,66.49,22593.4
01/01/1987,12913.12,11792.05,17.57,0,0,1033.73,71.73,25828.2
01/01/1988,14564.1,13737.29,19.59,0.06,0,1103.45,69.03,29493.52
01/01/1989,16143.78,16130.49,22.12,0,0,1251.32,63.49,33611.2
01/01/1990,18622.5,19318.02,27.73,0,0,1335.17,65.35,39368.77
01/01/1991,20776.78,22492.55,33.44,3.09,0,1398.12,69.26,44773.24
01/01/1992,22945.54,26132.48,40.46,3.48,0,1519.98,129.41,50771.35
01/01/1993,24872.67,29877.3,45.7,0.39,0,1583,179.15,56558.21
01/01/1994,27525.27,34302.72,55.08,0.46,0,1488.93,270.03,63642.49
01/01/1995,30603.49,40163.44,73.85,0.4,0,1662.35,276.03,72779.56
01/01/1996,32366.55,44981.25,82.77,0.93,0,1730.12,289.33,79450.95
01/01/1997,33707.99,50192.34,92.94,0,0,1598.6,304.79,85896.66
01/01/1998,32341.79,51400.97,127.76,0,0,1203.42,523.66,85597.6
01/01/1999,30873.37,51822.68,168.9,0.94,0,1174.65,471.48,84512.02
01/01/2000,32808.45,56172.94,145.96,0.73,0,1225.94,370.14,90724.16
01/01/2001,35327.39,60303.38,165.66,5.36,0,1333.11,277.55,97412.45
01/01/2002,36288.2,64230.79,177.23,29.73,0,1484.13,275.61,102485.69
01/01/2003,38587.01,70107.23,198.91,0.78,0,1432.88,348.79,110675.6
01/01/2004,40217.03,76310.51,514.63,0.04,0,1520.15,376.17,118938.53
01/01/2005,41439.84,83133.37,494.2,1.16,0,1590.89,365.62,127025.08
01/01/2006,42941.47,88631.96,586.01,0.12,0,1587.27,313.83,134060.66
01/01/2007,43597.89,93159.02,730.86,0,0,1653.93,303.82,139445.52
01/01/2008,43598.24,94860.73,772.84,0.05,188.19,1622.49,516.1,141558.64
01/01/2009,43221.61,95390.75,1081.19,0.87,225.32,1494.78,278.33,141692.85
01/01/2010,46635.38,106403.53,1042.18,0.07,272.12,1595.07,176.71,156125.06
01/01/2011,45766.87,106391.72,696.58,322.99,315.75,1580.6,132.75,155207.26
01/01/2012,49991.69,116025.45,1141.02,1.06,393.06,1693.21,124.48,169369.97
01/01/2013,49623.63,116793.35,953.55,4.22,416.98,1635.94,102.65,169530.32
01/01/2014,50043.56,120200.48,1221.35,22.36,350.07,1593.17,172.82,173603.81
01/01/2015,51577.37,124376.08,1507.66,122.59,138.64,1621.66,193.39,179537.39
01/01/2016,56585.63,125798.07,595.02,157.84,146.89,1591.85,171.21,185046.51
01/01/2017,52646.13,130237.6,365.27,132.69,86.8,1458.6,203.8,185130.89
01/01/2018,53301.86,131969.53,253.86,122.58,211.75,1339.12,189.84,187388.54
01/01/2019,55002.17,134605.47,1316.5,136.14,942,1346.59,90.26,193439.13
01/01/2020,52343.73,131558.55,1375.4,142.56,610.1,1378.67,80.38,187489.39
01/01/2021,51323.03,136265.99,1266.17,32.92,77.34,1249.8,142.32,190357.57
01/01/2022,53369.19,140680.96,841.24,2.92,566.53,930.46,97.03,196795.37
