Year,Thermal,Hydropower,Gas Turbine,Combined Cycle,Diesel,Renewable Energy,Purchase,Total
2512,327.5,451.2,90,0,39,0,0,907.7
2513,327.5,451.2,150,0,41,0,0,969.7
2514,510,451.2,165,0,41,0,0,1167.2
2515,710,475.2,165,0,41,0,0,1391.2
2516,740,515.2,165,0,28,0,0,1448.2
2517,1040,909.2,165,0,29.6,0,0,2143.8
2518,1333.75,909.2,165,0,29.6,0,0,2437.55
2519,1333.75,909.2,165,0,29.6,0,0,2437.55
2520,1333.75,909.2,165,0,29.6,0,0,2437.55
2521,1702.5,909.2,165,0,34.6,0,0,2811.3
2522,1777.5,909.2,165,0,34.6,0,0,2886.3
2523,1777.5,1269.2,165,0,34.6,0,0,3246.3
2524,1927.5,1317.2,250,300,34.6,0,0,3829.3
2525,1927.5,1380.62,250,480,33.6,0,0,4071.72
2526,2477.5,1496.92,250,720,33.6,0,0,4978.02
2527,3327.5,1509.12,265,720,33.6,0,0,5855.22
2528,3627.5,1813.62,265,720,33.6,0,0,6459.72
2529,3607.5,1998.12,265,720,33.6,0,0,6624.22
2530,3607.5,2238.22,267.35,720,33.6,0,0,6866.67
2531,3607.5,2238.22,267.35,771.6,33.6,0,0,6918.27
2532,3982.5,2238.22,267.35,771.6,33.6,0,0,7293.27
2533,4306.5,2236.46,238,"1,176.60",33.6,0.35,0,7991.51
2534,4906.5,2416.46,238,"2,036.60",31.6,0.4,0,9629.56
2535,5506.5,2416.46,238,"2,859.60",23.6,0.4,0,11044.56
2536,6101.5,2422.76,224,"3,423.60",13.6,0.41,0,12185.87
2537,6101.5,2531.06,210,"4,099.60",13.6,0.39,0,12956.15
2538,6701.5,2690.06,928,"3,093.60",13.6,0.39,"1,232.00",14659.15
2539,6517.5,2861.06,872,"3,311.60",16.6,0.53,"2,146.00",15725.29
2540,6517.5,2873.66,886,"4,392.60",16.6,0.53,"2,280.00",16966.89
2541,6517.5,2873.66,886,"4,817.60",6,0.53,"2,834.00",17935.29
2542,6517.5,2873.66,886,"5,074.60",6,0.53,"3,739.40",19097.69
2543,7227.5,2879.96,656,"5,074.60",6,0.53,"5,229.40",21073.99
2544,6255,2886.26,534,"5,318.60",6,0.53,"7,004.40",22004.79
2545,6255,2886.26,778,"5,074.60",6,0.53,"8,754.40",23754.79
2546,6255,2921.66,778,"5,074.60",6,0.53,"10,611.20",25646.99
2547,6370,3421.68,858,"4,694.30",6,1.03,"10,618.00",25969.01
2548,6370,3424.18,847,"5,146.95",5.4,1.03,"10,655.60",26450.16
2549,6370,3424.18,847,"5,146.95",5.4,1.03,"11,312.64",27107.2
2550,6370,3424.18,847,"5,146.95",5.4,1.03,"12,736.69",28530.25
2551,5258,3424.18,805.1,"5,482.00",4.4,1.03,"14,866.19",29840.9
2552,4699,3424.18,0,"6,196.00",4.4,4.55,"14,883.89",29212.02
2553,4699,3424.18,0,"6,866.00",4.4,4.55,"15,921.89",30920.02
2554,4699,3424.18,0,"6,866.00",4.4,4.55,"16,448.59",31446.72
2555,4699,3436.18,0,"6,866.00",4.4,4.55,"17,590.09",32600.22
2556,4699,3436.18,0,"6,866.00",4.4,4.55,"18,670.89",33681.02
2557,3647,3443.74,0,"8,382.00",4.4,4.99,"19,185.90",34668.03
2558,3647,3454.18,0,"8,382.00",30.4,4.55,"23,296.82",38814.95
2559,3647,3452.4,0,"9,210.00",30.4,45.33,"24,711.12",41096.25
2560,3647,3452.4,0,"8,896.00",30.4,45.33,"26,362.12",42433.25
2561,3647,3472.4,0,"8,582.00",30.4,57.78,"27,582.92",43372.5
2562,3687,3972.4,0,"7,358.00",30.4,83.03,"30,167.42",45298.25
2563,3687,3972.4,0,"8,262.00",30.4,85.52,"29,443.05",46480.37
2564,3687,3972.4,0,"8,262.00",30.4,130.52,"30,600.05",46682.37
2565,3687,3986.4,0,"9,086.00",30.4,130.52,"32,178.48",49098.8
