Year,Total water inflow
01/01/1969,8220
01/01/1970,10932
01/01/1971,11032
01/01/1972,13399
01/01/1973,18772
01/01/1974,14184
01/01/1975,22475
01/01/1976,16811
01/01/1977,17032
01/01/1978,22784
01/01/1979,15339
01/01/1980,20413
01/01/1981,24361
01/01/1982,25230
01/01/1983,22448
01/01/1984,28720
01/01/1985,30474
01/01/1986,29515
01/01/1987,23831
01/01/1988,30837
01/01/1989,33486
01/01/1990,26674
01/01/1991,35065
01/01/1992,26522
01/01/1993,23869
01/01/1994,41297
01/01/1995,39119
01/01/1996,38257
01/01/1997,40934
01/01/1998,21861
01/01/1999,33729
01/01/2000,47020
01/01/2001,39268
01/01/2002,46676
01/01/2003,32569
01/01/2004,33325
01/01/2005,35572
01/01/2006,45870
01/01/2007,39683
01/01/2008,40216
01/01/2009,38483
01/01/2010,32609
01/01/2011,58464
01/01/2012,33009
01/01/2013,37532
01/01/2014,27241
01/01/2015,22679
01/01/2016,30067
01/01/2017,39404
01/01/2018,41825
01/01/2019,28310
01/01/2020,25390
01/01/2021,38182
01/01/2022,44875
