Year,69 kV,115 kV,132 kV,230 kV,300 kV,500 kV,Total
01/01/1969,864,1766,0,1162,0,0,3792
01/01/1970,892,1813,0,1633,0,0,4338
01/01/1971,892,2248,0,1664,0,0,4804
01/01/1972,982,2878,0,1697,0,0,5557
01/01/1973,1023,3142,0,1697,0,0,5862
01/01/1974,1023,3507,0,2243,0,0,6773
01/01/1975,1023.38,3685,0,2243,0,0,6951.38
01/01/1976,1023.38,4620,0,2243,0,0,7886.38
01/01/1977,1023.38,5031.88,0,2439.65,0,0,8494.91
01/01/1978,1023.38,5474,0,2493.15,0,0,8990.53
01/01/1979,1023.38,5706.28,0,2546.73,0,0,9276.39
01/01/1980,1023.38,6085.65,0,2819.25,0,0,9928.28
01/01/1981,969.61,7195.07,8.71,2819.49,0,0,10992.88
01/01/1982,969.61,7428.19,8.71,2985.48,0,0,11391.99
01/01/1983,932.51,8261.1,8.71,3293.47,0,0,12495.78
01/01/1984,932.46,8156.8,8.71,4616.54,0,0,13714.49
01/01/1985,933.45,8321.96,8.71,5191.1,0,0,14455.22
01/01/1986,851.89,8922.22,8.71,5191.1,0,0,14973.92
01/01/1987,641.51,10003.28,8.71,5897.32,0,0,16550.82
01/01/1988,641.51,10012.38,8.71,5897.32,0,0,16559.91
01/01/1989,608.07,9488.28,8.71,6122.28,0,325.64,16552.96
01/01/1990,651.39,9817.97,8.71,7023.37,0,325.64,17827.06
01/01/1991,511.41,10371.72,8.71,6791.44,0,533.17,18216.44
01/01/1992,479.11,10652.78,8.71,7398.98,0,"1,200.72",19740.29
01/01/1993,383.83,11006.26,8.71,8097.37,0,"1,200.72",20696.89
01/01/1994,323.83,10971.87,8.71,8812.79,0,"1,200.72",21317.91
01/01/1995,303.43,11525.85,8.71,9066.37,0,"1,200.72",22105.07
01/01/1996,176.92,12123.24,8.71,9198.09,0,"1,417.25",22924.2
01/01/1997,139.72,12487.16,8.71,9294.71,0,"1,417.25",23347.55
01/01/1998,139.72,12652.9,8.71,9351.63,0,"1,643.55",23796.5
01/01/1999,52.07,13127.04,8.71,10054.42,0,"1,757.87",25000.1
01/01/2000,52.07,13711.99,8.71,10444.71,0,"2,132.05",26349.52
01/01/2001,52.07,13939.31,8.71,10907.37,0,"2,132.05",27039.5
01/01/2002,52.07,13837.21,8.71,11219.74,0,"2,789.85",27907.57
01/01/2003,52.07,14120.24,8.71,11326.82,0,"2,789.85",28297.68
01/01/2004,52.07,14153.36,8.71,11313.71,0,"2,789.85",28317.7
01/01/2005,52.07,13703.09,8.71,12134.46,0,"3,337.76",29236.09
01/01/2006,52.07,13777.56,8.71,12797.65,0,"3,432.90",30068.88
01/01/2007,46.06,13765.21,8.71,13304,0,"3,432.90",30556.88
01/01/2008,18.8,13458.61,8.71,13277.3,22.99,"3,432.41",30218.81
01/01/2009,18.8,13279.73,8.71,13393.05,22.99,"3,721.95",30445.22
01/01/2010,18.8,13325.84,8.71,13541.46,22.99,"3,721.95",30639.74
01/01/2011,18.8,13047.67,8.71,13950.12,22.99,"3,469.54",30517.82
01/01/2012,18.8,13561.53,8.71,14060.13,23.07,"3,884.23",31556.46
01/01/2013,19,13660.65,8.71,14505.65,23.07,"4,167.17",32384.24
01/01/2014,19,13703.93,8.7,14605.12,23.07,"4,167.17",32526.98
01/01/2015,18.8,13812.65,8.71,14142.75,23.07,"4,987.72",32993.68
01/01/2016,18.8,13497.32,8.71,14793.65,23.07,"5,025.34",33366.88
01/01/2017,18.8,13088.64,8.71,14423.13,23.07,"5,830.84",33393.19
01/01/2018,18.8,13263.16,8.71,14712.73,23.07,"6,527.39",34553.86
01/01/2019,18.8,13997.98,8.71,15357.71,23.07,"6,575.18",35981.45
01/01/2020,18.8,14423.19,8.71,15697.87,23.07,"6,912.29",37083.92
01/01/2021,18.8,14715.72,8.71,15804.64,23.07,"7,269.23",37840.16
01/01/2022,18.8,14388.34,8.71,15952.48,23.07,"8,275.25",38666.65
